categoria,metafora,w,metonimia
reportage,804307.8590497638,2244,254.57564380064355
editorial,797847.982604727,2241,256.40300255300195
reviews,926295.4083615864,2342,234.46358363858295
religion,935931.8321572712,2317,233.24144189144172
skills & hobbies,916884.62774593,2370,232.22511377511276
popular lore,796816.1152101667,2258,263.7263361638353
belles lettres,861343.6692835388,2359,239.3655889861766
miscellaneous,863173.038736266,2316,279.4144463379755
learned,907069.3580927892,2334,255.3453282828281
general fiction,870179.8901159727,2345,224.0298867798861
mistery and detective fiction,914219.7991227966,2331,256.1841630591622
science fiction,1000556.046812526,2369,255.7852647352645
adventure and western fiction,835693.3281863902,2279,228.3971750471748
romance and love story,1113220.902539808,2546,261.2546370296359
