categoria,metafora,metonimia,w,metacategoria,metafora_n,metonimia_n
reportage,880514.2266051729,232.26691723309344,2340,non-fiction,0.21679123392197375,0.2432185676736034
editorial,880324.3938971661,245.7195318570314,2262,non-fiction,0.21637086960731922,0.46489451084348987
reviews,929802.3841621898,242.9537623324385,2370,non-fiction,0.3259346096320257,0.4193193877099035
religion,850127.6846531004,264.68307213082664,2314,non-fiction,0.14950347294272115,0.7773810269259029
skills & hobbies,831781.7256289031,242.63225246975207,2232,non-fiction,0.10887830053243452,0.4140214583451085
popular lore,833825.8252252622,265.8398809523804,2222,non-fiction,0.11340474139150092,0.796443245963149
belles lettres,877690.5254131397,229.7858696858691,2288,non-fiction,0.21053844835703384,0.20233517284999625
miscellaneous,782613.2736154785,278.1929154179149,2214,neither,0.0,0.9999999999999996
learned,863208.0472119334,266.9982638276756,2254,non-fiction,0.17846854276767665,0.8155314026978249
general fiction,891211.5752720799,249.95016095016047,2264,fiction,0.24047937327477942,0.5346079993093347
mistery and detective fiction,1032943.8566940714,244.61502386502295,2446,fiction,0.5543304159636528,0.44669411949120486
science fiction,1064426.5465721537,235.0678052339812,2412,fiction,0.6240454797850516,0.28937238287360056
adventure and western fiction,1234204.1946069165,229.8177691589446,2560,fiction,1.0000000000000002,0.2028608212817926
romance and love story,993413.094671098,217.5069680319677,2428,fiction,0.4667937534989022,0.0
reportage,869205.2371696023,233.99592490842463,2277,non-fiction,0.303962612249995,0.03196512535600693
editorial,777241.5394134748,252.29809496059465,2200,non-fiction,0.0,0.29145076043517326
reviews,978095.225396233,242.3226565101564,2415,non-fiction,0.6638707725004624,0.1500203740860857
religion,831466.3628116096,234.21091131091077,2213,non-fiction,0.17922636182594642,0.03501317282925687
skills & hobbies,833209.3790445685,237.43338605838585,2279,non-fiction,0.18498745865318922,0.08070097400210186
popular lore,965391.1906183016,270.5444999444997,2369,non-fiction,0.6218808167740733,0.5501457660910125
belles lettres,863139.7507327744,279.74454989454966,2289,non-fiction,0.28391468957082777,0.6805828015487676
miscellaneous,873426.7117151126,302.2738428238428,2416,neither,0.3179156226411486,1.0
learned,912477.0323082526,241.59998334998312,2189,non-fiction,0.4469865250331715,0.13977441399568669
general fiction,1025249.8452137534,243.0625180375174,2440,fiction,0.8197283746751625,0.16051002846863538
mistery and detective fiction,959584.2017381956,231.74134476634435,2370,fiction,0.6026872920205943,0.0
science fiction,1049847.7175834612,260.93059440559404,2486,fiction,0.9010303854002606,0.4138411433472049
adventure and western fiction,1079790.9124281127,232.90989288489175,2383,fiction,1.0,0.016567513567927072
romance and love story,969075.2121776282,261.1946331446324,2332,fiction,0.6340574130189061,0.41758464806219653
reportage,832961.122494042,253.461402486402,2275,non-fiction,0.1499263290642303,0.15415383557946427
editorial,798751.012651529,266.66209346209246,2234,non-fiction,0.04980510355570189,0.42242984991657906
reviews,884194.0844699917,249.01867299367268,2320,non-fiction,0.2998675880393611,0.06386479212846208
religion,831865.8440237658,266.0598665223664,2332,non-fiction,0.14672082568461553,0.4101908661078024
skills & hobbies,850383.4965037219,263.1010350760349,2257,non-fiction,0.20091562565366639,0.3500588996085554
popular lore,869221.9181097293,245.8761655011648,2264,non-fiction,0.2560492065314426,0.0
belles lettres,871094.3935751553,275.37426046176046,2311,non-fiction,0.2615292982118298,0.5994861451676714
miscellaneous,839155.9869742717,295.0817980222388,2360,neither,0.16805656677685743,1.0
learned,781733.2618728676,246.0817654567651,2182,non-fiction,0.0,0.0041783825360290905
general fiction,924678.68595826,258.49646187146146,2325,fiction,0.4183520925875652,0.2564807263658606
mistery and detective fiction,1123420.1486319497,259.7061299811289,2428,fiction,1.0,0.2810646621408832
science fiction,935994.4646234306,248.55044955044897,2364,fiction,0.4514694848659211,0.05434914484919595
adventure and western fiction,1032713.1638679344,250.64708347208267,2380,fiction,0.734531852760357,0.09695877740977199
romance and love story,997559.1771764176,251.74584582084492,2320,fiction,0.6316482243455992,0.11928878908661922
reportage,739005.545665808,273.2918525918524,2217,non-fiction,0.0,1.0
editorial,839392.6586708553,252.962795537795,2230,non-fiction,0.2698409327855993,0.5254914818746954
reviews,897166.8448193009,267.3208680208676,2356,non-fiction,0.42513815983546577,0.8606289001505081
religion,971902.397216239,265.22606282606193,2410,non-fiction,0.6260276023879463,0.8117332280047096
skills & hobbies,913636.3833983988,260.77830780330754,2295,non-fiction,0.4694083407351668,0.707916428277132
popular lore,827298.639753781,263.91099178599177,2256,non-fiction,0.23733216499639198,0.7810376375110692
belles lettres,948168.5408124946,263.5388195138189,2403,non-fiction,0.5622309081821486,0.7723506180941593
miscellaneous,863483.173212439,246.39977799977743,2207,neither,0.33459632539121387,0.37230150763663516
learned,842569.1577530246,231.37843986079253,2205,non-fiction,0.2783793741220095,0.0216825447582627
general fiction,917557.8900258496,230.44950882450823,2296,fiction,0.479949365121664,0.0
mistery and detective fiction,866731.5026959036,245.56009546009463,2288,fiction,0.34332784711321995,0.35270214714779957
science fiction,1102841.6209263606,248.0798007548002,2461,fiction,0.9779927222772393,0.4115155796805494
adventure and western fiction,976789.2077744814,253.20416527916453,2349,fiction,0.6391633673273796,0.5311253879625673
romance and love story,1111028.8409040042,248.49708902208823,2422,fiction,1.0,0.42125566928802094
reportage,804307.8590497638,254.57564380064355,2244,non-fiction,0.02367771961614462,0.5515211687965111
editorial,797847.982604727,256.40300255300195,2241,non-fiction,0.0032612256068218493,0.5845151795269166
reviews,926295.4083615864,234.46358363858295,2342,non-fiction,0.4092203984781171,0.1883863831715331
religion,935931.8321572712,233.24144189144172,2317,non-fiction,0.43967639719107376,0.16631991271672408
skills & hobbies,916884.62774593,232.22511377511276,2370,non-fiction,0.3794775469394902,0.14796952545286945
popular lore,796816.1152101667,263.7263361638353,2258,non-fiction,0.0,0.7167421696712069
belles lettres,861343.6692835388,239.3655889861766,2359,non-fiction,0.20393987909590372,0.276894902273364
miscellaneous,863173.038736266,279.4144463379755,2316,neither,0.20972161668643263,1.0
learned,907069.3580927892,255.3453282828281,2334,non-fiction,0.3484563043850435,0.5654182637328224
general fiction,870179.8901159727,224.0298867798861,2345,fiction,0.23186682959184557,0.0
mistery and detective fiction,914219.7991227966,256.1841630591622,2331,fiction,0.37105533359176013,0.5805639069053434
science fiction,1000556.046812526,255.7852647352645,2369,fiction,0.6439217728715843,0.5733615687973854
adventure and western fiction,835693.3281863902,228.3971750471748,2279,fiction,0.12287175963529284,0.07885389542022292
romance and love story,1113220.902539808,261.2546370296359,2546,fiction,1.0,0.6721142236530211
