categoria,metafora,w
reportage,880514.2266051729,2340
editorial,880324.3938971661,2262
reviews,929802.3841621898,2370
religion,850127.6846531004,2314
skills & hobbies,831781.7256289031,2232
popular lore,833825.8252252622,2222
belles lettres,877690.5254131397,2288
miscellaneous,782613.2736154785,2214
learned,863208.0472119334,2254
general fiction,891211.5752720799,2264
mistery and detective fiction,1032943.8566940714,2446
science fiction,1064426.5465721537,2412
adventure and western fiction,1234204.1946069163,2560
romance and love story,993413.0946710979,2428
